i_TradePeriodSustainedILROffer,-,-,-,-,
TP8,CPK0331,t3,i_ILROfferPrice,10.29, 
TP8,HAM0331,t1,i_ILROfferMax,2.667, 
TP8,HAM0331,t1,i_ILROfferPrice,0.01, 
TP8,HIN0331,t1,i_ILROfferMax,0.5, 
TP8,HIN0331,t1,i_ILROfferPrice,0, 
TP8,ISL0331,t1,i_ILROfferMax,0, 
TP8,ISL0331,t1,i_ILROfferPrice,0, 
TP8,KAW0111,t1,i_ILROfferMax,6, 
TP8,KAW0111,t1,i_ILROfferPrice,600, 
TP8,KAW0113,t1,i_ILROfferMax,28, 
TP8,KAW0113,t1,i_ILROfferPrice,0, 
TP8,KIN0331,t1,i_ILROfferMax,0.2, 
TP8,KIN0331,t1,i_ILROfferPrice,0, 
TP8,KPU0661,t1,i_ILROfferMax,0.2, 
TP8,KPU0661,t1,i_ILROfferPrice,0, 
TP8,MPE1101,t1,i_ILROfferMax,0, 
TP8,MPE1101,t1,i_ILROfferPrice,0, 
TP8,PEN0331,t1,i_ILROfferMax,5.3, 
TP8,PEN0331,t1,i_ILROfferPrice,0.01, 
TP8,PEN0331,t2,i_ILROfferMax,2.7, 
TP8,PEN0331,t2,i_ILROfferPrice,0.45, 
TP8,PEN0331,t3,i_ILROfferMax,2.7, 
TP8,PEN0331,t3,i_ILROfferPrice,2.95, 
TP8,PRM0331,t1,i_ILROfferMax,55, 
TP8,PRM0331,t1,i_ILROfferPrice,0, 
TP8,PRM0331,t2,i_ILROfferMax,75.78, 
TP8,PRM0331,t2,i_ILROfferPrice,0.02, 
TP8,WGN0331,t1,i_ILROfferMax,0, 
TP8,WGN0331,t1,i_ILROfferPrice,0.1, 
TP8,WHI0111,t1,i_ILROfferMax,40, 
TP8,WHI0111,t1,i_ILROfferPrice,0, 
TP8,WHU0331,t1,i_ILROfferMax,0.3, 
TP8,WHU0331,t1,i_ILROfferPrice,0, 
TP8,WKO0331,t1,i_ILROfferMax,0.2, 
TP8,WKO0331,t1,i_ILROfferPrice,0, 
TP9,BOB1101,t1,i_ILROfferMax,3.2, 
TP9,BOB1101,t1,i_ILROfferPrice,0, 
TP9,CPK0331,t1,i_ILROfferMax,1.176, 
TP9,CPK0331,t1,i_ILROfferPrice,0.01, 
TP9,CPK0331,t2,i_ILROfferMax,0.7, 
TP9,CPK0331,t2,i_ILROfferPrice,5.15, 
TP9,CPK0331,t3,i_ILROfferMax,0.5, 
TP9,CPK0331,t3,i_ILROfferPrice,10.29, 
TP9,HAM0331,t1,i_ILROfferMax,2.815, 
TP9,HAM0331,t1,i_ILROfferPrice,0.01, 
TP9,HIN0331,t1,i_ILROfferMax,0.5, 
TP9,HIN0331,t1,i_ILROfferPrice,0, 
TP9,ISL0331,t1,i_ILROfferMax,0, 
TP9,ISL0331,t1,i_ILROfferPrice,0, 
TP9,KAW0111,t1,i_ILROfferMax,6, 
TP9,KAW0111,t1,i_ILROfferPrice,600, 
TP9,KAW0113,t1,i_ILROfferMax,28, 
TP9,KAW0113,t1,i_ILROfferPrice,0, 
TP9,KIN0331,t1,i_ILROfferMax,0.4, 
TP9,KIN0331,t1,i_ILROfferPrice,0, 
TP9,KPU0661,t1,i_ILROfferMax,0.2, 
TP9,KPU0661,t1,i_ILROfferPrice,0, 
TP9,MPE1101,t1,i_ILROfferMax,0, 
TP9,MPE1101,t1,i_ILROfferPrice,0, 
TP9,PEN0331,t1,i_ILROfferMax,5.8, 
TP9,PEN0331,t1,i_ILROfferPrice,0.01, 
TP9,PEN0331,t2,i_ILROfferMax,2.9, 
TP9,PEN0331,t2,i_ILROfferPrice,0.45, 
TP9,PEN0331,t3,i_ILROfferMax,2.9, 
TP9,PEN0331,t3,i_ILROfferPrice,2.95, 
TP9,PRM0331,t1,i_ILROfferMax,55, 
TP9,PRM0331,t1,i_ILROfferPrice,0, 
TP9,PRM0331,t2,i_ILROfferMax,76.473, 
TP9,PRM0331,t2,i_ILROfferPrice,0.02, 
TP9,WGN0331,t1,i_ILROfferMax,0, 
TP9,WGN0331,t1,i_ILROfferPrice,0.1, 
TP9,WHI0111,t1,i_ILROfferMax,40, 
TP9,WHI0111,t1,i_ILROfferPrice,0, 
TP9,WHU0331,t1,i_ILROfferMax,0.3, 
TP9,WHU0331,t1,i_ILROfferPrice,0, 
TP9,WKO0331,t1,i_ILROfferMax,0.2, 
TP9,WKO0331,t1,i_ILROfferPrice,0, 
TP10,BOB1101,t1,i_ILROfferMax,3.494, 
TP10,BOB1101,t1,i_ILROfferPrice,0, 
TP10,CPK0331,t1,i_ILROfferMax,1.089, 
TP10,CPK0331,t1,i_ILROfferPrice,0.01, 
TP10,CPK0331,t2,i_ILROfferMax,0.7, 
